DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
5MhrpenuTwrLNSEHWkpnBB, make_classification,6000,2,1,4,16,4,0,1,2,0.2,False,42,"[[ 0.14703114 -0.20557045 -0.46989757 ...  1.33102994  5.0118044
  -0.35257569]
 [ 0.94616032  1.12253641 -1.772066   ... -0.20840351 -1.33443416
   0.40059485]
 [ 0.63127596 -0.19753083  0.74344767 ... -0.31744637 -2.03574772
   1.08623037]
 ...
 [ 0.93153594 -0.33519879  0.92596939 ...  0.52130419  3.88926149
  -0.41938421]
 [ 1.08149451  1.16647488  0.21146823 ... -0.54005305  7.61132469
  -0.05200932]
 [ 0.4892874   0.25375527  0.71946583 ... -1.1454744   3.75197545
   0.779257  ]]",[1 0 0 ... 1 1 1],"[[ 0.42985157  0.91252752 -0.63925888 ...  1.48266321  3.91700948
  -1.00923382]
 [-1.27241543  0.45355427  1.03188791 ... -0.65650686  8.17759206
   1.01029275]
 [-0.21044744  0.97090131 -0.04777806 ...  1.28783545  4.17084467
   0.06470779]
 ...
 [-0.74039116  2.38534838  1.05310029 ...  1.07431678 -1.75772989
   1.49304277]
 [ 0.43726195 -0.25353469 -0.28380978 ... -0.65617764 -2.56517564
   0.98789287]
 [ 0.20256257  0.90570509 -0.56433154 ... -0.49509057  4.00419251
  -1.10474715]]",[1 1 1 ... 0 0 1]
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
3RSUWTNihvBiXFjLXJ3a5H, make_classification,6000,2,1,4,16,4,0,1,2,0.2,False,42,"[[ 5.15634492e+00  2.85078267e-02 -1.41872927e+00 ...  7.90694686e-16
   1.39643900e-15  3.64667983e-15]
 [-1.34740014e+00 -6.22572593e+00  1.02656103e-01 ...  4.94024741e-15
  -4.75314727e-15  1.04912865e-14]
 [-4.95109862e+00 -1.89261879e+00  2.03054422e-01 ...  2.68603994e-15
   5.51995866e-16  3.56420360e-15]
 ...
 [ 3.46481425e+00 -6.72862430e-02 -1.27413548e+00 ... -1.91364218e-16
   9.71565363e-16  3.58822038e-15]
 [ 8.78343684e+00  7.82562697e-01  7.11429288e-01 ...  2.04977498e-18
   2.32261504e-16  1.41137430e-15]
 [ 3.81740720e+00 -7.40869949e-01 -1.18361403e+00 ... -1.94486029e-15
  -1.99891067e-15  5.76919903e-15]]",[1 0 0 ... 1 1 1],"[[ 3.73828886e+00 -9.35251084e-01  3.69695461e-01 ...  4.02352455e-15
  -2.08301808e-16  4.91236908e-15]
 [ 9.12258761e+00  9.59259584e-01 -7.94596835e-01 ...  5.93526817e-16
  -1.56430239e-15 -9.58810492e-16]
 [ 4.16235217e+00 -9.23650806e-01  3.33691249e-01 ...  4.93474419e-15
  -1.56773387e-15  4.91170059e-15]
 ...
 [-4.36548220e+00 -2.32498697e+00  4.81662762e+00 ... -5.90622002e-15
   1.09958495e-15 -3.91357606e-16]
 [-6.10915065e+00 -1.92816411e+00  5.13186534e-01 ... -3.70480690e-15
  -2.32899445e-16 -7.75127979e-16]
 [ 3.74889482e+00 -9.47117501e-01  5.66842891e-01 ...  1.03766539e-15
   2.33124564e-16  2.56127790e-15]]",[1 1 1 ... 0 0 1]
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
M2mDvjEfC8f94NyonxyJTp, make_classification,6000,2,1,4,14,4,0,1,2,0.2,False,42,"[[-5.77252262e+00 -1.94828885e+00  1.60108171e-01 ...  2.56053674e-15
   6.98585127e-15  1.41105353e-15]
 [-6.41946980e+00  2.90236526e-01 -2.15257892e+00 ...  1.78630450e-15
   2.08372689e-14 -4.39751725e-15]
 [-2.12965436e+00 -3.68940743e+00  1.36267623e+00 ...  4.51715500e-15
   1.94981150e-14 -4.07638303e-15]
 ...
 [-6.57673686e+00  4.20190735e-01 -1.32513741e-02 ...  9.25453100e-16
   5.61412165e-15 -2.25737422e-15]
 [ 4.14603473e+00 -4.17025178e-01 -4.05077664e-01 ...  1.01312353e-15
   8.65762134e-15 -1.64319824e-16]
 [-6.09699092e+00 -1.24900507e+00 -1.50634622e-01 ...  1.76440474e-15
   4.89532578e-15  1.45342571e-15]]",[0 0 0 ... 0 1 0],"[[-6.58879575e+00  5.74620574e-01  1.00953822e-01 ...  1.43214636e-15
   2.65925393e-15  1.10789924e-14]
 [ 8.40912254e+00  8.94988081e-01 -1.84405058e-01 ... -1.89196875e-15
  -1.10013459e-15 -4.94001770e-15]
 [-6.70023911e+00 -4.21062672e-01 -1.34813398e+00 ... -4.80863745e-15
  -3.07781778e-16 -1.18526495e-15]
 ...
 [-6.33987111e+00 -1.43776412e+00  2.10901239e+00 ... -7.72598388e-17
  -1.84748463e-15 -2.81586419e-15]
 [-1.16998329e+01  5.35826344e+00  1.62745175e+00 ... -1.20524131e-15
  -4.43014833e-15 -9.06145544e-15]
 [ 6.58096529e+00  9.53637819e-01 -1.61092353e+00 ... -2.13359312e-15
   1.14046779e-15  3.36752502e-15]]",[0 1 0 ... 0 0 1]
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
9ikX9Yu75wF4WB26gMeqLd, make_classification,600,2,1,10,16,4,2,1,2,0.2,False,42,"[[ 2.37637589 -1.51876594  2.92367079 ... -1.08893444 -3.00607374
   2.88538876]
 [ 3.74191128 -1.54725551  3.07764297 ... -1.74594878 -3.18022382
   3.56947235]
 [ 1.45796823  1.56102213 -0.22012917 ... -3.70110116  1.6080233
  -1.21423204]
 ...
 [ 0.2190306   1.01540911 -1.35266035 ... -2.18780014  0.38537952
   0.07017561]
 [-0.89570833 -0.81324605 -2.34233122 ...  1.80820128 -3.17670003
   2.79610733]
 [ 1.85404191 -3.07047882  1.59869772 ... -2.1440777  -0.43814019
  -1.42939195]]","[1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1
 0 0 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0
 0 1 1 0 0 1 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0
 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1
 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1
 1 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 1 1
 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1
 1 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1
 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 0
 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 0
 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1]","[[ 2.04764746 -0.92869751  2.2695809  ... -3.1157959  -1.41451114
   3.79871511]
 [-4.17174801  0.21374608 -0.0941882  ...  2.98050695 -3.83718823
  -1.82171541]
 [ 3.45637068 -1.18965625  4.14471235 ... -3.50451391 -0.99987225
   5.15459666]
 ...
 [ 2.83467849 -0.92610519  2.96672902 ...  0.03252672 -3.18140503
   2.86490615]
 [-2.12943978 -1.57595849 -1.0768758  ...  2.41719995 -2.66583471
   2.30801043]
 [-1.21133429 -3.47626141 -3.17535667 ...  0.23428345  0.07411451
   1.13367578]]","[1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1
 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0
 1 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1
 0 1 1 0 0 0 1 0 0]"
DataID,DataGenAlgo,Sample_size,nclass,GenRandomState,nInfo,nFeature,nRedun,nRep,nCluster,classSep,train-testSplit,Shuf,SplitRandomState,X_train,Y_train,X_test,Y_test
RR7s3DyLm2EsPfHYYCgHAg, make_classification,600,2,1,10,16,4,2,1,2,0.2,False,42,"[[ 1.04739126e+01  3.15795212e+00  2.22123829e+00 ... -7.36019906e-16
   3.25728989e-17  2.33129716e-15]
 [ 1.38007609e+01  3.73136181e+00  1.95239382e+00 ... -7.37490813e-16
   6.62249633e-16 -5.24151528e-18]
 [ 9.02553866e+00  2.63257207e+00 -4.45783986e+00 ... -8.13508139e-16
  -1.30319177e-15  6.43196237e-15]
 ...
 [ 5.67272615e+00  1.84945970e+00 -6.13542878e+00 ... -1.59761453e-16
  -9.53731575e-16  3.85243245e-15]
 [-1.14637644e+01  2.88342655e+00  6.44913897e+00 ...  1.86568796e-15
   2.08185873e-15 -2.31832733e-15]
 [ 9.55193012e+00 -1.02032930e+00 -5.00130487e+00 ... -4.38146304e-17
  -1.02779286e-15  2.72839381e-15]]","[1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1
 0 0 0 1 1 1 1 0 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0
 0 1 1 0 0 1 0 0 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 0
 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0
 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1
 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1
 1 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 1 1
 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1
 1 0 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1
 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 0
 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 1 0 0
 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1]","[[ 6.52864729e+00 -2.63835591e+00  5.03647882e+00 ... -7.38316355e-16
   1.52112590e-16 -1.27689403e-16]
 [-1.23133763e+01  6.33782065e+00 -8.16124572e-01 ...  3.20702005e-16
  -1.62871711e-16  1.83642778e-16]
 [ 1.12330499e+01 -5.26089371e+00  7.70148034e+00 ... -1.61235228e-16
  -5.41950615e-18 -8.93799292e-17]
 ...
 [ 6.66618354e+00  3.67932534e+00  4.98190557e+00 ...  2.39823818e-16
  -2.25789431e-17 -4.00825970e-17]
 [-1.00620572e+01  1.89474193e+00  2.83454759e+00 ...  2.38510246e-16
  -2.83414885e-17  1.13505335e-17]
 [-6.62280096e+00 -7.24287964e-01 -5.59687081e+00 ... -3.45538609e-16
   7.24589951e-18  7.55114090e-17]]","[1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1
 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0
 1 0 0 0 0 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1
 0 1 1 0 0 0 1 0 0]"
